name	id	theme	filename	geometry
Navigational aid	navigational_aid	bs	bs_1250009	line
Residential area	residential_area	bs	bs_1370009	polygon
Parabolic antenna	parabolic_antenna	bs	bs_2000009	point
Building	building	bs	bs_2010009	line
Chimney	chimney	bs	bs_2060009	line
Tank	tank	bs	bs_2080009	line
Cross	cross	bs	bs_2120009	line
Transmission line	transmission_line	bs	bs_2230009	line
Wall/fence	wall/fence	bs	bs_2240009	line
Pipeline (Sewage/liquid waste)	pipeline_(sewage/liquid_waste)	bs	bs_2310009	line
Well	well	bs	bs_2350009	point
Underground reservoir	underground_reservoir	bs	bs_2380009	point
Silo	silo	bs	bs_2440009	point
Tower	tower	bs	bs_2530009	point
Power transmission line	power_transmission_line	en	en_1120009	line
Pipeline	pipeline	en	en_1180009	line
Valve	valve	en	en_1340009	point
Gas and oil facilities	gas_and_oil_facilities	en	en_1360049	point
Transformer station	transformer_station	en	en_1360059	point
Wind-operated device	wind-operated_device	en	en_2170009	point
Contour	contour	fo	fo_1030009	line
Landform	landform	fo	fo_1080019	polygon
Esker	esker	fo	fo_1080029	line
Glacial debris undifferentiated	glacial_debris_undifferentiated	fo	fo_1080039	polygon
Moraine	moraine	fo	fo_1080049	polygon
Sand	sand	fo	fo_1080059	polygon
Tundra polygon	tundra_polygon	fo	fo_1080069	polygon
Pingo	pingo	fo	fo_1080079	point
Elevation point	elevation_point	fo	fo_1200009	point
Contour imperial	contour_imperial	fo	fo_2570009	line
Elevation point imperial	elevation_point_imperial	fo	fo_2610009	point
Permanent snow and ice	permanent_snow_and_ice	hd	hd_1140009	polygon
Shoreline	shoreline	hd	hd_1440009	line
Manmade hydrographic entity	manmade_hydrographic_entity	hd	hd_1450009	point
Hydrographic obstacle entity	hydrographic_obstacle_entity	hd	hd_1460009	point
Single line watercourse	single_line_watercourse	hd	hd_1470009	line
Waterbody	waterbody	hd	hd_1480009	polygon
Island	island	hd	hd_1490009	polygon
Pit	pit	ic	ic_1350019	polygon
Quarry	quarry	ic	ic_1350029	polygon
Extraction area	extraction_area	ic	ic_1350039	point
Mine	mine	ic	ic_1350049	point
Peat cutting	peat_cutting	ic	ic_1350059	polygon
Domestic waste	domestic_waste	ic	ic_1360019	polygon
Industrial solid waste	industrial_solid_waste	ic	ic_1360029	point
Industrial and commercial area	industrial_and_commercial_area	ic	ic_1360039	point
Lumber yard	lumber_yard	ic	ic_2110009	polygon
Mining area	mining_area	ic	ic_2600009	point
Landmass	landmass	la	la_1150009	polygon
Municipality Regional area	municipality_regional_area	la	la_1680019	polygon
Upper Municipality	upper_municipality	la	la_1680029	polygon
Municipality	municipality	la	la_1680039	polygon
Aboriginal Lands	aboriginal_lands	la	la_1690009	polygon
NTS50K boundary polygon	nts50k_boundary_polygon	li	li_1210009	polygon
Lookout	lookout	lx	lx_1000019	point
Ski centre	ski_centre	lx	lx_1000029	point
Cemetery	cemetery	lx	lx_1000039	point
Fort	fort	lx	lx_1000049	polygon
Marina	marina	lx	lx_1000069	point
Sports track/Race track	sports_track/race_track	lx	lx_1000079	line
Golf course	golf_course	lx	lx_1000089	polygon
Camp	camp	lx	lx_2030009	point
Drive-in theatre	drive-in_theatre	lx	lx_2070009	point
Botanical garden	botanical_garden	lx	lx_2200009	polygon
Shrine	shrine	lx	lx_2210009	point
Historical site/Point of interest	historical_site/point_of_interest	lx	lx_2220009	point
Amusement park	amusement_park	lx	lx_2260009	polygon
Park/sports field	park/sports_field	lx	lx_2270009	polygon
Footbridge	footbridge	lx	lx_2280009	line
Ruins	ruins	lx	lx_2400009	point
Trail	trail	lx	lx_2420009	line
Stadium	stadium	lx	lx_2460009	polygon
Campground	campground	lx	lx_2480009	point
Picnic site	picnic_site	lx	lx_2490009	point
Golf drining range	golf_drining_range	lx	lx_2500009	point
Exhibition ground	exhibition_ground	lx	lx_2510009	polygon
Zoo	zoo	lx	lx_2560009	polygon
Tundra pond	tundra_pond	ss	ss_1320019	polygon
Palsa bog	palsa_bog	ss	ss_1320029	polygon
Saturated soil	saturated_soil	ss	ss_1320039	polygon
Wetland	wetland	ss	ss_1320049	polygon
String bog	string_bog	ss	ss_1320059	polygon
Named feature	named_feature	to	to_1580009	point
Railway	railway	tr	tr_1020009	line
Railway Structure	railway_structure	tr	tr_1040009	point
Rail Ferry	rail_ferry	tr	tr_1050009	line
Railway Station	railway_station	tr	tr_1060009	point
Runway	runway	tr	tr_1190009	point
Ferry connection segment	ferry_connection_segment	tr	tr_1750009	line
Road segment	road_segment	tr	tr_1760009	line
Junction	junction	tr	tr_1770009	point
Blocked passage	blocked_passage	tr	tr_1780009	point
Toll point	toll_point	tr	tr_1790009	point
Wooded area	wooded_area	ve	ve_1240009	polygon
Cut line	cut_line	ve	ve_2290009	line
