lon	lat	name
-122.9820785	50.11266011	GC7
-122.9841175	50.11055377	GC6
-122.9825706	50.11266617	GC5
-122.9813968	50.11476491	GC4
-122.981199	50.11636861	GC3
-122.9812584	50.11765695	GC2
-122.9813914	50.10987958	GC1
-122.9852344	50.10699291	GC9
-122.9784589	50.11524403	GC11
-122.9788046	50.11467498	GC10
-122.9812212	50.117285	GC8
